Crop Name,Min Temp (°C),Max Temp (°C),Ideal Conditions,Min Soil Moisture (%),Max Soil Moisture (%),Rainfall (mm/year),Soil Type,Sunlight (hours/day),Other Notes
Corn,7,32,Clear,22,52,732,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,733,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,734,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,735,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,736,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,737,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,738,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,739,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,740,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,741,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,742,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,743,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,744,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,745,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,746,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,747,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,748,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,749,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,750,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,751,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,752,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,753,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,754,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,755,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,756,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,757,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,758,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,759,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,760,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,761,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,762,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,763,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,764,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,765,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,766,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,767,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,768,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,769,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,770,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,771,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,772,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,773,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,774,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,775,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,776,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,777,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,778,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,779,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,780,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,781,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,782,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,783,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,784,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,785,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,786,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,787,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,788,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,789,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,790,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,791,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,792,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,793,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,794,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,795,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,796,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,797,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,798,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,799,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,800,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,801,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,802,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,803,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,804,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,805,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,806,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,807,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,808,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,809,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,810,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,811,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,812,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,813,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,814,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,815,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,816,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,817,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,818,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,819,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,820,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,821,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,822,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,823,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,824,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,825,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,826,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,827,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,828,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,829,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,830,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,831,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,832,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,833,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,834,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,835,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,836,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,837,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,838,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,839,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,840,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,841,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,842,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,843,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,844,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,845,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,846,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,847,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,848,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,849,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,850,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,851,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,852,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,853,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,854,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,855,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,856,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,857,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,858,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,859,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,860,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,861,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,862,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,863,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,864,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,865,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,866,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,867,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,868,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,869,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,870,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,871,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,872,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,873,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,874,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,875,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,876,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,877,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,878,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,879,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,880,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,881,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,882,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,883,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,884,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,885,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,886,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,887,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,888,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,889,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,890,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,891,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,892,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,893,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,894,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,895,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,896,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,897,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,898,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,899,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,900,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,901,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,902,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,903,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,904,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,905,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,906,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,907,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,908,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,909,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,910,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,911,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,912,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,913,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,914,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,915,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,916,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,917,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,918,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,919,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,920,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,921,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,922,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,923,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,924,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,925,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,926,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,927,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,928,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,929,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,930,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,931,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,932,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,933,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,934,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,935,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,936,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,937,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,938,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,939,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,940,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,941,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,942,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,943,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,944,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,945,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,946,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,947,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,948,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,949,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,950,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,951,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,952,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,953,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,954,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,955,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,956,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,957,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,958,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,959,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,960,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,961,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,962,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,963,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,964,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,965,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,966,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,967,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,968,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,969,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,970,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,971,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,972,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,973,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,974,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,975,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,976,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,977,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,978,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,979,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,980,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,981,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,982,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,983,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,984,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,985,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,986,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,987,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,988,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,989,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,990,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,991,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,992,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,993,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,994,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,995,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,996,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,997,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,998,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,999,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,1000,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,1001,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,1002,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,1003,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,1004,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,1005,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,1006,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,1007,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,1008,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,1009,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,1010,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,1011,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,1012,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,1013,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,1014,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,1015,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,1016,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,1017,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,1018,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,1019,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,1020,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,1021,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,1022,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,1023,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,1024,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,1025,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,1026,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,1027,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,1028,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,1029,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,1030,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,1031,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,1032,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,1033,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,1034,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,1035,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,1036,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,1037,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,1038,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,1039,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,1040,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,1041,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,1042,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,1043,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,1044,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,1045,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,1046,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,1047,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,1048,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,1049,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,1050,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,1051,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,1052,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,1053,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,1054,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,1055,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,1056,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,1057,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,1058,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,1059,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,1060,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,1061,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,1062,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,1063,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,1064,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,1065,Chalky,11,Thrives in humid conditions.
